Language, Domain, Intent, Industry, Text, Want To
Danish,Coronavirus Recommendations,Returning From Travel,Coronavirus,_,know what to do if you're returning from travelling abroad
Danish,Employer Guidelines,Sick Employee,Coronavirus,"En af min ansatte er smittet, hvad skal vi gøre",know what to do if one of your employees has been infected
Danish,Employer Guidelines,Refusal To Work,Coronavirus,en af min ansatte nægter at arbejde pga corona,know what your options are as an employer if one of your employees is refusing to work due to Coronavirus/COVID-19
Danish,Employer Guidelines,Refusal To Travel,Coronavirus,kan medarbejdere nægte at transportere sig til arbejde pga corona,know if an employee can refuse to travel due to Coronavirus/COVID-19
Danish,Employer Guidelines,Vacation,Coronavirus,Kan man ændre planlagt ferie fordi jeg ikke må rejse pga corona,know if scheduled vacation can be changed if an employee cannot vacation due to Coronavirus/COVID-19
Danish,Employer Guidelines,Daycare,Coronavirus,Jeg kan ikke får pasning af mit barn pga corona,know what to do if an employee is unable to get anyone to care for their child if their school or institution is closed due to Coronavirus/COVID-19
Danish,Employer Guidelines,Quarantine,Coronavirus,Hvad skal jeg gøre ved min medarbejder har Corona?,vide hvad man skal gøre som arbejdsgiver hvis en af dine ansatte er under karantæne
Danish,Contact,Hotline,Coronavirus,Hvem skal jeg ringe til?,kontakte en hotline
Danish,About Coronavirus,Latest News,Coronavirus,hvad er seneste nyt ift corona?,ask for the latest news on Coronavirus/COVID-19
Danish,About Coronavirus,Status,Coronavirus,hvAD  er status egentlig lige nu på corona,know what the status of Coronavirus/COVID-19 is
Danish,About Coronavirus,Strategy,Coronavirus,hvad er jeres strategi lige nu,know what the current strategy is
Danish,About Coronavirus,Testing,Coronavirus,hvem skal egenlig testes. jeg er lidt i tvivl,know who should be tested
Danish,About Coronavirus,Fear,Coronavirus,hvor  bange skal jeg være for corona,know how afraid you should be of Coronavirus/COVID-19
Danish,Coronavirus Recommendations,Health Authority Recommendations,Coronavirus,hvad anbefaler sundhedsstyrelsen egentlig?,know what the Health Authority recommendations are
Danish,Coronavirus Recommendations,Public Spaces,Coronavirus,Hvordan skal jeg agerer når jeg er på offentlige steder,ask for recommendations as to how to act in public spaces
Danish,Coronavirus Recommendations,Illness,Coronavirus,"jeg føler mig syg, hvad skal jeg gøre",know what to do if you've fallen ill
Danish,Coronavirus Recommendations,Contact With Infected,Coronavirus,Jeg har været tæt på en person med corona. Hva skal jeg gøre,know what to do if you've been in contact with a person who has tested positive for Coronavirus/COVID-19
Danish,Employer Guidelines,Refusal To Travel,Coronavirus,Kan en ansat nægte at rejse pga. Coronavirus?,vide om en ansat kan nægte at rejse på grund af Coronavirus/COVID-19
Danish,Coronavirus Recommendations,Employer,Coronavirus,Hvad jeg som arbejdsgiver gør for at beskytte mine medarbejdere,know what to do as an employer to protect your employees
Danish,Employer Guidelines,Vacation,Coronavirus,Hvad hvis en ansat ikke kan holde ferie pga. Coronavirus?,vide om aftalt ferie kan ændres hvis en ansat ikke er i stand til at holde ferie på grund af Coronavirus/COVID-19
Danish,Employer Guidelines,Daycare,Coronavirus,Hvad hvis en af mine medarbejder ikke kan få sit barn passet pga. COVID-19?,vide hvad man kan gøre som arbejdsgiver hvis en ansat ikke kan få sit barn passet fordi barnets skole eller daginstitution er lukket på grund af Coronavirus/COVID-19
Danish,Coronavirus Recommendations,Citizen,Coronavirus,Jeg kan jeg gøre for at minimere risikoen for at sprede smitten - corona,know what you can do as a citizen to minimize the spread of Coronavirus/COVID-19
Danish,Employer Guidelines,Quarantine,Coronavirus,Hvad gør man hvis ens ansat er under karantæne?,vide hvad man skal gøre som arbejdsgiver hvis en af dine ansatte er under karantæne
Danish,Contact,Hotline,Coronavirus,Jeg vil gerne kontakte en hotline,kontakte en hotline
Danish,Coronavirus Recommendations,People At Risk,Coronavirus,Hvem er i særlig risko for at blive smittet?,vide hvem der er i særlig risiko for smitte og efterfølgende sygdom
Danish,Coronavirus Recommendations,Actions If At Risk,Coronavirus,Hvad hvis jeg er en del af en af risikogrupperne?,vide hvad du skal gøre hvis du er en del af en af risikogrupperne
Danish,Coronavirus Recommendations,Pregnant,Coronavirus,Er jeg i særlig risiko hvis jeg er gravid?,vide hvad du skal gøre hvis du er gravid
Danish,Coronavirus Recommendations,Children,Coronavirus,Er børn i risiko for at blive smittet eller være smittebærere?,vide om børn er i særlig risiko for at blive smittet
Danish,Coronavirus Recommendations,Mask,Coronavirus,Burde jeg gå rundt med maske pga. coronavirus?,vide om du burde bære en maske
Danish,Coronavirus Recommendations,Swimming Hall,Coronavirus,Er jeg i særlig risiko for at blive smittet hvis jeg er ude at svømme?,vide om du er i særlig risiko for at blive smittet hvis du svømmer i en svømmehal
Danish,Coronavirus Recommendations,Precautions,Coronavirus,Hvad skal jeg gøre hvis jeg skal rejse?,vide hvilke foranstaltninger du burde tage hvis du skal rejse
Danish,Coronavirus Recommendations,Returning From Travel,Coronavirus,Hvad skal jeg gøre når jeg er hjemvendt fra et andet land?,vide hvad du skal gøre hvis du er ved at returnere fra et andet land
Danish,Employer Guidelines,Sick Employee,Coronavirus,Hvad skal man gøre hvis en af ens ansatte er smittet?,vide hvad man skal gøre som arbejdsgiver hvis en af dine ansatte er blevet smittet
Danish,Employer Guidelines,Refusal To Work,Coronavirus,Hvad er mine muligheder som arbejdsgiver hvis en ansat nægter at arbejde pga. COVID-19?,vide hvad dine muligheder er som arbejdsgiver hvis en af dine ansatte nægter at arbejde på grund af Coronavirus/COVID-19
Danish,About Coronavirus,Status,Coronavirus,Hvad er status på COVID-19?,vide hvad statussen på Coronavirus/COVID-19 er
Danish,About Coronavirus,Strategy,Coronavirus,Hvad er regeringens strategi?,vide hvad den nuværende strategi er
Danish,About Coronavirus,Testing,Coronavirus,Hvem skal testes for corona?,vide hvem burde testes
Danish,About Coronavirus,Fear,Coronavirus,Skal jeg være bange for at blive smittet med Coronavirus?,vide hvor bange du burde være for Coronavirus/COVID-19
Danish,Coronavirus Recommendations,Health Authority Recommendations,Coronavirus,Hvad anbefaler sundhedsstyrelsen?,vide hvad sundhedsstyrelsens anbefalinger er
Danish,About Coronavirus,Coronavirus Versus Influenza,Coronavirus,Er Coronavirus det samme som influenza?,spørge om Coronavirus/COVID-19 er det samme som influenza
Danish,About Coronavirus,Latest News,Coronavirus,Hvad er nyhederne omkring coronavirus?,spørge om de seneste nyheder vedrørende Coronavirus/COVID-19
Danish,Coronavirus Recommendations,Infection Prevention,Coronavirus,hvordan forebygger jeg at blive smittet med corona,know how to prevent yourself from being infected
Danish,Coronavirus Recommendations,Public Spaces,Coronavirus,Hvordan skal jeg begå mig i det offentlige rum?,bede om anbefalinger til hvordan du skal begå dig i det offentlige rum
Danish,Coronavirus Recommendations,Illness,Coronavirus,Hvad skal jeg gøre hvis jeg er blevet syg?,vide hvad du skal gøre hvis du er blevet syg
Danish,Coronavirus Recommendations,Doctor,Coronavirus,hvornår skal jeg gå til lægen,know when you should go to the doctor
Danish,Coronavirus Recommendations,Contact With Infected,Coronavirus,Hvad hvis en person nær mig har coronavirus?,vide hvad du skal gøre hvis du har været nær en person som har testet positiv for Coronavirus/COVID-19
Danish,Coronavirus Recommendations,Employer,Coronavirus,Hvad skal jeg gøre som arbejdsgiver for at beskytte mine ansatte fra at blive smittet?,vide hvad du skal gøre som arbejdsgiver for at beskytte dine ansatte
Danish,Coronavirus Recommendations,Pet,Coronavirus,Hvilken betydning har det for min hund at jeg er testet positiv for corona,know what to do with your pet if you've tested positive for Coronavirus/COVID-19
Danish,Coronavirus Recommendations,Citizen,Coronavirus,Hvad kan jeg gøre som borger for at minimere smitten af Coronavirus?,vide hvad du kan gøre som borger for at minimere spredningen af Coronavirus/COVID-19
Danish,Coronavirus Recommendations,Infection Prevention,Coronavirus,Hvordan kan jeg undgå at blive smittet?,vide hvordan du kan undgå at blive smittet
Danish,Coronavirus Recommendations,People At Risk,Coronavirus,hvem er er i særlig risiko,know who especially are at risk of infection and subsequent illness
Danish,Coronavirus Recommendations,Doctor,Coronavirus,Hvornår skulle jeg tage et smut til lægen?,vide hvornår du burde tage til lægen
Danish,Coronavirus Recommendations,Pet,Coronavirus,Hvad skal jeg gøre med mit kæledyr hvis jeg er positiv for coronavirus?,vide hvad du skal gøre med dit kæledyr hvis du er testet positiv for Coronavirus/COVID-19
Danish,Coronavirus Recommendations,Actions If At Risk,Coronavirus,Jeg er i en risikogruppe. Hva skal jeg gøre,know what to do if you're a part of an at risk group
Danish,About Coronavirus,What Do We Know About Coronavirus,Coronavirus,Hvad ved vi om Coronavirus?,vide hvad vi ved om Coronavirus/COVID-19
Danish,About Coronavirus,Symptoms,Coronavirus,Hvilke symptomer har man hvis man har coronavirus,vide hvilke symptomer man udviser når man er smittet med Coronavirus/COVID-19
Danish,Coronavirus Recommendations,Pregnant,Coronavirus,"jeg er gravid, hvad gør jeg ift corona",know what to do if you're pregnant
Danish,About Coronavirus,Methods of Transmission,Coronavirus,hvordan smittes covid-19?,vide hvordan Coronavirus/COVID-19 smitter
Danish,About Coronavirus,Treatment,Coronavirus,hvordan behandler man coronavirus,vide hvordan Coronavirus/COVID-19 behandles
Danish,Coronavirus Recommendations,Children,Coronavirus,Er børn særligt udsatte,know if children are at risk
Danish,About Coronavirus,What Is Coronavirus,Coronavirus,hvad er coronavirus?`,vide hvad Coronavirus/COVID-19 er
Danish,Coronavirus Recommendations,Mask,Coronavirus,Skal jeg bære maske,know if you should be wearing a mask
Danish,Coronavirus Recommendations,Swimming Hall,Coronavirus,Er der særlig risiko for smitte i svømmehallen,know if you are at risk of infection if you go swimming in a swimming hall
Danish,Coronavirus Recommendations,Precautions,Coronavirus,Hvilke forholdsregler skal jeg tage under rejse,know which precautions to take if you're going travelling
Danish,Employer Guidelines,Quarantine,Coronavirus,Hvad gør jeg hvis en af de anstatte er i karantæne,know what to do if one of your employees is under quarantine
Danish,Contact,Hotline,Coronavirus,hvornår får jeg fat i hjælp,contact a hotline
Danish,Coronavirus Recommendations,Children,Coronavirus,Er der større chance for at børn bliver smittet,vide om børn er i særlig risiko for at blive smittet
Danish,Coronavirus Recommendations,Mask,Coronavirus,Gør masker en forskel,vide om du burde bære en maske
Danish,Coronavirus Recommendations,Swimming Hall,Coronavirus,Er der større chance for at blive smittet i en svømmehal,vide om du er i særlig risiko for at blive smittet hvis du svømmer i en svømmehal
Danish,About Coronavirus,What Is Coronavirus,Coronavirus,Hvad er covid_,vide hvad Coronavirus/COVID-19 er
Danish,Coronavirus Recommendations,Precautions,Coronavirus,"Hvad skal jeg passe på med at gøre, hvis jeg skal ud og rejse",vide hvilke foranstaltninger du burde tage hvis du skal rejse
Danish,Coronavirus Recommendations,Returning From Travel,Coronavirus,Jeg er på vej hjem. Hvad nu,vide hvad du skal gøre hvis du er ved at returnere fra et andet land
Danish,Employer Guidelines,Sick Employee,Coronavirus,En af mine ansatte er smittet... Hvad gør jeg,vide hvad man skal gøre som arbejdsgiver hvis en af dine ansatte er blevet smittet
