Language, Domain, Intent, Industry, Text, Want To
English,Coronavirus Recommendations,Pet,Coronavirus,_,vide hvad du skal gøre med dit kæledyr hvis du er testet positiv for Coronavirus/COVID-19
English,Coronavirus Recommendations,People At Risk,Coronavirus,_,vide hvem der er i særlig risiko for smitte og efterfølgende sygdom
English,Coronavirus Recommendations,Actions If At Risk,Coronavirus,What to do if I'm one of the people with a risk profile?,vide hvad du skal gøre hvis du er en del af en af risikogrupperne
English,Coronavirus Recommendations,Pregnant,Coronavirus,What to do as a pregnant woman?,vide hvad du skal gøre hvis du er gravid
English,Employer Guidelines,Refusal To Travel,Coronavirus,Can an employee say that they dont want to travel because of coronavirus?,know if an employee can refuse to travel due to Coronavirus/COVID-19
English,About Coronavirus,Testing,Coronavirus,Who should be tested?,know who should be tested
English,About Coronavirus,Fear,Coronavirus,Will I die?,know how afraid you should be of Coronavirus/COVID-19
English,Coronavirus Recommendations,Health Authority Recommendations,Coronavirus,What should I do?,know what the Health Authority recommendations are
English,Coronavirus Recommendations,Public Spaces,Coronavirus,What to do when outside?,ask for recommendations as to how to act in public spaces
English,Coronavirus Recommendations,Illness,Coronavirus,I'm sick wtf do i do?,know what to do if you've fallen ill
English,Coronavirus Recommendations,Illness,Coronavirus,i dont know what to do now that I am sick,know what to do if you've fallen ill
English,Coronavirus Recommendations,Contact With Infected,Coronavirus,What should I do because I touched someone who are sick with corona,know what to do if you've been in contact with a person who has tested positive for Coronavirus/COVID-19
English,Coronavirus Recommendations,Employer,Coronavirus,How do I do to help my employes with corona?,know what to do as an employer to protect your employees
English,Coronavirus Recommendations,Citizen,Coronavirus,waht should i do to minimise the spread?,know what you can do as a citizen to minimize the spread of Coronavirus/COVID-19
English,Coronavirus Recommendations,Not At Risk,Coronavirus,"I am not at risk, is there anything I should do?",know what to do as a person who does not fall within any of the known risk groups
English,Coronavirus Recommendations,Infection Prevention,Coronavirus,how can I avoid being infected?,know how to prevent yourself from being infected
English,Coronavirus Recommendations,Doctor,Coronavirus,at what point should I seek medical help?,know when you should go to the doctor
English,Coronavirus Recommendations,Children,Coronavirus,is my son at risk of being infected?,know if children are at risk
English,Coronavirus Recommendations,Mask,Coronavirus,should I be wearing a mask when I am outside?,know if you should be wearing a mask
English,Coronavirus Recommendations,Swimming Hall,Coronavirus,is it safe to use a public swimming pool?,know if you are at risk of infection if you go swimming in a swimming hall
English,Coronavirus Recommendations,Precautions,Coronavirus,What should I be careful with when travelling?,know which precautions to take if you're going travelling
English,Coronavirus Recommendations,Returning From Travel,Coronavirus,I have come back from travelling and I am not sure what to do?,know what to do if you're returning from travelling abroad
English,Employer Guidelines,Sick Employee,Coronavirus,what should I do as one of my employees are sick?,know what to do if one of your employees has been infected
English,Employer Guidelines,Refusal To Work,Coronavirus,what are my rights when an employee refuses to work because of the virus?,know what your options are as an employer if one of your employees is refusing to work due to Coronavirus/COVID-19
English,Employer Guidelines,Refusal To Travel,Coronavirus,Can an employee say no to travelling for work because of the corona?,know if an employee can refuse to travel due to Coronavirus/COVID-19
English,Employer Guidelines,Vacation,Coronavirus,can we reschedule a vacation for an employee due to the corona virus?,know if scheduled vacation can be changed if an employee cannot vacation due to Coronavirus/COVID-19
English,Employer Guidelines,Daycare,Coronavirus,my employe can not get her kids look after and I don't know what to do?,know what to do if an employee is unable to get anyone to care for their child if their school or institution is closed due to Coronavirus/COVID-19
English,Employer Guidelines,Quarantine,Coronavirus,what should a person do when under quaranteen?,know what to do if one of your employees is under quarantine
English,Contact,Hotline,Coronavirus,ho can I get in touch with you fast?,contact a hotline
English,Gatherings,Cancelling Gathering,Coronavirus,we can we not meet up in crowds?,know why the government recommends cancelling gatherings of people
English,Gatherings,Arranging Gathering,Coronavirus,should I cancel my birthday party?,know what to do if you're arranging a gathering of people
English,Gatherings,Gathering Precautions,Coronavirus,Is there anyhting I can do to prevent spread of the virus during my party?,know what precautions you can take when arranging a gathering of people
English,Coronavirus Recommendations,Health Authority Recommendations,Coronavirus,what is the government recommending?,know what the Health Authority recommendations are
English,Coronavirus Recommendations,Health Authority Recommendations,Coronavirus,_,know what the Health Authority recommendations are
English,Coronavirus Recommendations,People At Risk,Coronavirus,who is at risk of getting corona virus?,know who especially are at risk of infection and subsequent illness
English,Coronavirus Recommendations,Actions If At Risk,Coronavirus,who should I avoid to not get corona?,know what to do if you're a part of an at risk group
